Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.2382		0.8028		0.0000		0.2598		0.00051498
2		0.6535		0.5889		0.0000		0.3702		0.00050000
3		0.4925		0.4817		0.0000		0.3946		0.00048497
4		0.4256		0.4636		0.0000		0.4831		0.00046990
5		0.3878		0.4110		0.0000		0.5170		0.00045477
6		0.3632		0.3958		0.0000		0.5202		0.00043958
7		0.3438		0.3814		0.0000		0.5306		0.00042433
8		0.3250		0.3912		0.0000		0.5396		0.00040903
9		0.3280		0.3672		0.0000		0.5546		0.00039366
10		0.3176		0.3636		0.0000		0.5502		0.00037822
11		0.3070		0.3510		0.0000		0.5676		0.00036271
12		0.2902		0.3350		0.0000		0.5896		0.00034713
13		0.2797		0.3315		0.0000		0.5952		0.00033147
14		0.2737		0.3236		0.0000		0.6104		0.00031572
15		0.2691		0.3424		0.0000		0.6010		0.00029989
16		0.2778		0.3386		0.0000		0.5913		0.00028397
17		0.2637		0.3251		0.0000		0.6050		0.00026794
18		0.2477		0.3325		0.0000		0.6081		0.00025181
19		0.2465		0.3256		0.0000		0.6357		0.00023556
20		0.2436		0.3184		0.0000		0.6358		0.00021919
21		0.2350		0.3248		0.0000		0.6353		0.00020268
22		0.2276		0.3216		0.0000		0.6252		0.00018602
23		0.2223		0.3231		0.0000		0.6318		0.00016919
24		0.2173		0.3163		0.0000		0.6621		0.00015217
25		0.2111		0.3186		0.0000		0.6467		0.00013494
26		0.2049		0.3160		0.0000		0.6676		0.00011746
27		0.2003		0.3082		0.0000		0.6698		0.00009969
28		0.1953		0.3088		0.0000		0.6680		0.00008155
29		0.1914		0.3007		0.0000		0.6825		0.00006295
30		0.1867		0.3060		0.0000		0.6760		0.00004370
